"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test","create token","SUCCESS","2023-01-02T21:55:39.299Z[Europe/London]","0.0","3.35"
"CRUD test","Create booking ","SUCCESS","2023-01-02T21:55:42.671Z[Europe/London]","0.0","0.49"
